Quantity,Price,Rate,Holiday,customer_age,customer_birthdate,customer_gender,Customer_Type,customer_City,City_Population,City_Density(people/km2),employee_age,employee_BirthDate,employee_months_working,employee_HireDate,RoleDesc,WH,EmpType,Branch_Name,Branch_Location,PaymentMethod,DEPARTMENT,orderDate_quarter,OrderedDate,promotionDate_quarter,PromotionDate,PromotionType
68,453.6,3.7,1,69,22/04/1953,Female,Normal,North,191700,467.8,39,06/10/1982,3,29/04/2021,Cashier,6h,Shiftworkers,D,West,Ewallet,Gifts,2,31/05/2021 00:00,2,17/05/2021 00:00,Giveaways
16,987.6,9.5,0,55,10/11/1966,Female,Member,South,121400,3.7,32,09/10/1989,0,19/07/2021,Cashier,6h,Shiftworkers,C,East,Cash,Designer,1,21/01/2021 00:00,1,14/01/2021 00:00,No Promotion
63,792.8,3.7,1,57,05/06/1965,Female,Normal,West,159700,170,38,15/04/1984,1,16/06/2021,Cashier,6h,Fixed term,C,East,Ewallet,Men,4,19/11/2021 00:00,3,24/09/2021 00:00,Giveaways
17,113.5,1.9,0,59,08/02/1963,Female,Normal,North,146900,350.1,27,26/07/1995,1,20/06/2021,Cashier,6h,Shiftworkers,B,North,Credit card,Women,3,30/07/2021 00:00,3,09/07/2021 00:00,No Promotion
8,977.2,7.3,1,65,18/08/1956,Male,Member,North,191700,467.8,33,18/09/1988,2,15/05/2022,Cashier,6h,Part-time,C,East,Credit card,Home,4,30/11/2021 00:00,4,12/10/2021 00:00,Tiered Promotions
47,179.3,7.6,0,69,02/08/1953,Male,Member,East,951800,199.9,33,16/02/1989,11,05/09/2021,Cashier,12h,Part-time,E,South,Cash,Home,4,16/11/2021 00:00,3,28/09/2021 00:00,Free Gift with Purchase
49,274,2.2,1,68,07/11/1953,Female,Member,West,249100,71.3,29,09/08/1992,5,17/02/2021,Cashier,6h,Shiftworkers,E,South,Ewallet,Men,4,26/11/2021 00:00,4,08/10/2021 00:00,Giveaways
69,224.4,8,0,59,12/01/1963,Male,Normal,South,139200,20.2,22,26/06/2000,6,22/01/2022,Cashier,12h,Shiftworkers,C,East,Ewallet,Gifts,4,17/11/2021 00:00,4,27/10/2021 00:00,Giveaways
60,714.8,2.9,1,55,29/07/1967,Female,Normal,North,191700,467.8,18,13/12/2003,3,12/04/2022,Cashier,12h,Full-time,E,South,Cash,Activewear,3,15/09/2021 00:00,3,25/08/2021 00:00,Sales Promotion
8,597.2,7.7,0,65,30/12/1956,Female,Normal,East,2473400,326.3,37,08/10/1984,2,27/05/2021,Cashier,6h,Full-time,D,West,Credit card,Activewear,2,23/04/2021 00:00,1,05/03/2021 00:00,Giveaways
139,99.7,8.6,1,55,29/07/1967,Female,Member,West,249100,71.3,37,08/10/1984,2,27/05/2021,Cashier,6h,Full-time,D,West,Credit card,Kids,1,14/02/2022 00:00,4,20/12/2021 00:00,Tiered Promotions
41,928.3,8.7,0,63,09/10/1958,Female,Member,South,139200,20.2,24,23/01/1998,8,30/11/2021,Cashier,6h,Part-time,A,East,Ewallet,Beauty,4,09/12/2021 00:00,4,18/11/2021 00:00,Tiered Promotions
34,130.1,3.4,0,63,01/02/1959,Female,Member,West,428000,382,29,30/12/1992,10,28/09/2021,Cashier,6h,Fixed term,E,South,Cash,Beauty,3,28/08/2021 00:00,3,31/07/2021 00:00,Sales Promotion
24,514.4,3.4,0,53,30/05/1969,Female,Normal,East,2473400,326.3,20,06/07/2002,11,25/08/2021,Cashier,6h,Part-time,E,South,Cash,Young Adult,3,24/07/2021 00:00,3,10/07/2021 00:00,No Promotion
152,349.7,1.6,0,57,30/06/1965,Female,Normal,West,89400,40.5,39,07/05/1983,2,10/05/2021,Cashier,12h,Full-time,E,South,Ewallet,Gifts,2,23/06/2021 00:00,2,26/05/2021 00:00,Free Gift with Purchase
123,828.4,2.5,0,62,30/11/1959,Male,Normal,South,139200,20.2,26,20/06/1996,10,27/09/2021,Cashier,12h,Part-time,D,West,Ewallet,Beauty,1,22/01/2022 00:00,4,18/12/2021 00:00,Sales Promotion
41,153.5,1.7,1,62,06/12/1959,Male,Normal,East,2473400,326.3,37,27/02/1985,10,17/09/2021,Cashier,12h,Full-time,B,North,Credit card,Kids,2,08/05/2021 00:00,2,24/04/2021 00:00,No Promotion
175,810.6,5.6,0,62,04/02/1960,Female,Normal,West,428000,382,32,01/03/1990,6,28/01/2022,Cashier,12h,Shiftworkers,B,North,Ewallet,Young Adult,1,21/01/2022 00:00,4,26/11/2021 00:00,Free Gift with Purchase
88,241.8,8,1,72,05/01/1950,Female,Normal,East,2473400,326.3,33,18/12/1988,2,22/05/2021,Cashier,6h,Fixed term,E,South,Cash,Gifts,3,25/08/2021 00:00,3,28/07/2021 00:00,Giveaways
142,387.7,5.9,1,53,27/02/1969,Male,Member,West,428000,382,21,13/09/2000,5,13/02/2021,Cashier,12h,Part-time,B,North,Credit card,Kids,2,18/04/2021 00:00,2,04/04/2021 00:00,Discount Promotions
76,250.4,8.7,1,61,07/11/1960,Male,Member,East,2473400,326.3,22,22/02/2000,4,17/03/2021,Cashier,6h,Fixed term,A,East,Cash,Women,3,19/07/2021 00:00,2,14/06/2021 00:00,Sales Promotion
65,114.8,3,0,55,18/03/1967,Male,Member,East,300300,11.3,38,15/04/1984,1,16/06/2021,Cashier,6h,Fixed term,C,East,Ewallet,Kids,4,28/11/2021 00:00,4,17/10/2021 00:00,Online Promotion
95,74.6,4.4,0,59,10/04/1963,Male,Member,West,249100,71.3,38,16/10/1983,3,25/04/2021,Cashier,6h,Part-time,C,East,Cash,Women,2,20/04/2021 00:00,2,06/04/2021 00:00,Discount Promotions
78,665.2,4.5,0,53,10/06/1969,Female,Normal,East,300300,11.3,27,26/07/1995,1,20/06/2021,Cashier,6h,Shiftworkers,B,North,Credit card,Women,2,29/05/2021 00:00,2,10/04/2021 00:00,Sales Promotion
24,100.3,3.7,1,70,11/07/1952,Male,Normal,East,951800,199.9,32,26/12/1989,4,28/03/2022,Cashier,6h,Fixed term,D,West,Ewallet,Beauty,3,08/08/2021 00:00,3,04/07/2021 00:00,Free Gift with Purchase
122,315.8,8,0,57,07/09/1964,Male,Normal,East,951800,199.9,20,08/05/2002,5,06/03/2022,Cashier,12h,Full-time,D,West,Cash,Kids,2,06/05/2021 00:00,1,11/03/2021 00:00,Online Promotion
25,881,2.5,0,58,05/08/1964,Female,Normal,East,2473400,326.3,21,09/08/2000,5,20/02/2021,Cashier,12h,Part-time,B,North,Ewallet,Home,1,18/01/2022 00:00,4,23/11/2021 00:00,Tiered Promotions
26,975.9,9,0,69,09/02/1953,Male,Normal,West,249100,71.3,39,13/03/1983,3,23/04/2021,Cashier,6h,Shiftworkers,C,East,Cash,Women,3,26/08/2021 00:00,3,12/08/2021 00:00,Giveaways
177,197.7,2.9,0,53,13/05/1969,Female,Normal,West,89400,40.5,22,11/05/2000,7,03/01/2021,Cashier,6h,Fixed term,B,North,Credit card,Kids,4,29/11/2021 00:00,4,01/11/2021 00:00,Discount Promotions
15,504.5,4.1,0,60,01/06/1962,Male,Normal,North,1137100,723.4,18,13/12/2003,3,12/04/2022,Cashier,12h,Full-time,E,South,Credit card,Men,3,19/07/2021 00:00,2,28/06/2021 00:00,No Promotion
68,646.6,9.4,1,59,09/05/1963,Male,Normal,North,146900,350.1,31,16/02/1991,6,01/02/2022,Cashier,6h,Shiftworkers,A,East,Cash,Home,3,01/09/2021 00:00,3,14/07/2021 00:00,No Promotion
113,340.8,7.8,1,59,12/03/1963,Male,Normal,West,428000,382,25,24/11/1996,4,23/03/2021,Cashier,6h,Fixed term,A,East,Credit card,Gifts,2,27/04/2021 00:00,2,20/04/2021 00:00,Sales Promotion
43,427.5,3.4,0,62,15/02/1960,Female,Member,East,2473400,326.3,37,10/09/1984,2,17/05/2022,Cashier,6h,Fixed term,A,East,Cash,Women,1,14/03/2021 00:00,1,21/02/2021 00:00,Online Promotion
57,848.3,6.7,0,62,20/08/1959,Male,Normal,North,191700,467.8,29,09/08/1992,5,17/02/2021,Cashier,6h,Shiftworkers,E,South,Ewallet,Kids,4,02/12/2021 00:00,4,18/11/2021 00:00,Sales Promotion
139,310.3,7.2,1,65,16/04/1957,Female,Member,North,1137100,723.4,34,09/03/1988,3,04/05/2021,Cashier,6h,Shiftworkers,B,North,Credit card,Kids,3,23/08/2021 00:00,3,09/08/2021 00:00,Online Promotion
52,284.7,1.1,1,66,24/08/1955,Female,Normal,North,146900,350.1,19,27/05/2003,6,09/01/2021,Cashier,12h,Fixed term,A,East,Cash,Kids,3,12/08/2021 00:00,3,01/07/2021 00:00,Giveaways
5,310.6,1.8,1,68,19/08/1953,Male,Normal,South,139200,20.2,37,10/04/1985,5,18/02/2021,Cashier,6h,Full-time,C,East,Credit card,Women,3,05/09/2021 00:00,3,18/07/2021 00:00,Giveaways
91,569.7,8.4,1,63,06/03/1959,Male,Member,East,951800,199.9,20,28/03/2002,2,14/05/2021,Cashier,12h,Full-time,B,North,Ewallet,Kids,2,21/06/2021 00:00,2,26/04/2021 00:00,Online Promotion
56,274.2,7.8,0,64,30/07/1958,Female,Normal,South,139200,20.2,25,24/11/1996,4,23/03/2021,Cashier,6h,Fixed term,A,East,Ewallet,Kids,1,04/02/2021 00:00,1,28/01/2021 00:00,Giveaways
130,378.2,3.9,0,69,04/07/1953,Female,Member,South,121400,3.7,32,19/10/1989,0,23/07/2021,Cashier,12h,Shiftworkers,C,East,Ewallet,Home,4,30/11/2021 00:00,4,19/10/2021 00:00,Tiered Promotions
166,978.8,1.2,1,70,12/12/1951,Male,Normal,West,249100,71.3,23,29/10/1998,4,16/03/2021,Cashier,6h,Fixed term,A,East,Cash,Young Adult,3,10/08/2021 00:00,3,27/07/2021 00:00,Discount Promotions
51,361.5,1.9,0,71,23/09/1950,Male,Normal,West,159700,170,31,24/12/1990,5,20/02/2021,Cashier,12h,Full-time,C,East,Credit card,Men,4,24/12/2021 00:00,4,26/11/2021 00:00,Discount Promotions
39,695.7,6.6,1,68,03/12/1953,Female,Member,South,139200,20.2,26,20/06/1996,10,27/09/2021,Cashier,12h,Part-time,D,West,Ewallet,Sale,4,21/10/2021 00:00,4,07/10/2021 00:00,No Promotion
114,52.9,2.5,0,56,18/08/1965,Male,Normal,North,146900,350.1,38,18/05/1984,3,02/05/2021,Cashier,6h,Fixed term,E,South,Credit card,Kids,2,06/06/2021 00:00,2,09/05/2021 00:00,Tiered Promotions
140,931.6,2.3,0,64,06/11/1957,Female,Normal,South,139200,20.2,20,29/06/2002,2,10/05/2021,Cashier,6h,Fixed term,D,West,Cash,Kids,3,19/07/2021 00:00,2,14/06/2021 00:00,Giveaways
117,582.8,6,1,54,05/03/1968,Female,Normal,East,951800,199.9,21,29/01/2001,6,30/01/2021,Cashier,12h,Part-time,C,East,Ewallet,Young Adult,3,13/07/2021 00:00,2,01/06/2021 00:00,Sales Promotion
44,739.9,9.3,1,67,30/03/1955,Female,Member,West,428000,382,38,18/05/1984,3,02/05/2021,Cashier,6h,Fixed term,E,South,Cash,Home,1,17/03/2021 00:00,1,27/01/2021 00:00,Giveaways
18,620.7,4,0,62,15/10/1959,Female,Normal,East,300300,11.3,33,18/09/1988,2,15/05/2022,Cashier,6h,Part-time,C,East,Credit card,Women,4,04/12/2021 00:00,4,09/10/2021 00:00,No Promotion
61,273.3,6.5,0,53,11/10/1968,Male,Member,West,249100,71.3,22,22/02/2000,4,17/03/2021,Cashier,6h,Fixed term,A,East,Ewallet,Women,2,29/06/2021 00:00,2,08/06/2021 00:00,Online Promotion
82,588.8,9,1,67,24/06/1955,Male,Normal,East,2473400,326.3,20,02/08/2002,11,01/09/2021,Cashier,6h,Shiftworkers,B,North,Ewallet,Young Adult,1,05/02/2021 00:00,1,22/01/2021 00:00,Discount Promotions
74,502.3,2.6,0,66,01/10/1955,Female,Normal,West,249100,71.3,20,11/08/2001,2,10/05/2022,Cashier,6h,Fixed term,C,East,Ewallet,Men,1,21/01/2022 00:00,4,31/12/2021 00:00,Tiered Promotions
97,452.9,8.5,1,62,25/11/1959,Male,Normal,West,89400,40.5,31,24/12/1990,5,20/02/2021,Cashier,12h,Full-time,C,East,Credit card,Women,4,17/11/2021 00:00,4,03/11/2021 00:00,Online Promotion
42,727.4,5.9,1,64,03/02/1958,Female,Member,North,1137100,723.4,31,07/05/1991,4,17/03/2021,Cashier,6h,Fixed term,E,South,Cash,Women,3,29/08/2021 00:00,3,22/08/2021 00:00,Free Gift with Purchase
20,453.2,1.1,0,63,19/08/1958,Male,Member,West,89400,40.5,37,08/10/1984,2,27/05/2021,Cashier,6h,Full-time,D,West,Credit card,Men,2,09/06/2021 00:00,2,21/04/2021 00:00,Tiered Promotions
67,734,5.7,0,57,09/03/1965,Male,Member,West,89400,40.5,34,30/06/1988,9,19/10/2021,Cashier,6h,Fixed term,C,East,Credit card,Women,4,31/12/2021 00:00,4,26/11/2021 00:00,Discount Promotions
50,790.6,2.8,0,71,07/09/1950,Female,Normal,East,2473400,326.3,23,29/10/1998,4,16/03/2021,Cashier,6h,Fixed term,A,East,Cash,Gifts,2,01/06/2021 00:00,2,25/05/2021 00:00,Giveaways
23,870.8,2.4,0,55,27/10/1966,Female,Member,East,300300,11.3,18,17/12/2003,4,15/03/2022,Cashier,12h,Fixed term,E,South,Ewallet,Kids,1,13/02/2021 00:00,1,30/01/2021 00:00,No Promotion
111,543.7,8.4,1,66,24/01/1956,Female,Member,East,2473400,326.3,25,24/11/1996,4,23/03/2021,Cashier,6h,Fixed term,A,East,Credit card,Home,1,27/03/2021 00:00,1,20/02/2021 00:00,Sales Promotion
70,361.4,6.3,0,61,25/09/1960,Male,Member,North,146900,350.1,32,26/12/1989,4,28/03/2022,Cashier,6h,Fixed term,D,West,Cash,Kids,3,08/09/2021 00:00,3,14/07/2021 00:00,Giveaways
83,973,2.7,0,53,16/11/1968,Male,Member,East,2473400,326.3,37,10/09/1984,2,17/05/2022,Cashier,6h,Fixed term,A,East,Cash,Activewear,3,08/09/2021 00:00,3,04/08/2021 00:00,Giveaways
78,949.7,2.3,0,54,01/05/1968,Female,Member,West,89400,40.5,36,13/03/1986,0,18/07/2021,Cashier,6h,Part-time,D,West,Cash,Women,1,24/02/2021 00:00,1,27/01/2021 00:00,Giveaways
157,540.1,9.5,1,69,13/10/1952,Male,Normal,South,121400,3.7,35,12/11/1986,5,22/02/2021,Cashier,12h,Fixed term,B,North,Ewallet,Designer,3,21/07/2021 00:00,2,16/06/2021 00:00,Discount Promotions
17,140.5,8.7,0,52,16/09/1969,Female,Member,North,146900,350.1,35,07/07/1987,2,12/05/2022,Cashier,6h,Fixed term,C,East,Ewallet,Activewear,3,25/09/2021 00:00,3,28/08/2021 00:00,No Promotion
1,5.8,9.6,0,68,22/11/1953,Female,Normal,East,2473400,326.3,29,27/09/1992,9,13/10/2021,Cashier,12h,Full-time,C,East,Credit card,Home,2,20/04/2021 00:00,1,02/03/2021 00:00,Discount Promotions
2,797.7,9.3,1,66,14/10/1955,Female,Member,East,2473400,326.3,26,20/06/1996,10,27/09/2021,Cashier,12h,Part-time,D,West,Credit card,Men,2,15/04/2021 00:00,2,08/04/2021 00:00,Free Gift with Purchase
52,201.5,5.5,0,61,21/08/1960,Male,Normal,West,159700,170,24,23/01/1998,8,30/11/2021,Cashier,6h,Part-time,A,East,Credit card,Home,1,18/01/2022 00:00,4,14/12/2021 00:00,Free Gift with Purchase
132,706.7,4.1,0,65,23/05/1957,Female,Member,West,428000,382,21,09/08/2000,5,20/02/2021,Cashier,12h,Part-time,B,North,Ewallet,Men,3,01/09/2021 00:00,3,07/07/2021 00:00,Free Gift with Purchase
66,666,1.9,1,63,17/04/1959,Male,Member,West,89400,40.5,22,26/06/2000,6,22/01/2022,Cashier,12h,Shiftworkers,C,East,Cash,Beauty,4,06/12/2021 00:00,4,22/11/2021 00:00,Giveaways
50,590.9,5.3,1,67,10/05/1955,Male,Normal,South,121400,3.7,19,04/04/2003,2,27/05/2021,Cashier,6h,Part-time,D,West,Cash,Men,3,17/07/2021 00:00,2,12/06/2021 00:00,Tiered Promotions
22,210.7,3.2,1,70,25/04/1952,Male,Normal,West,159700,170,35,12/11/1986,5,22/02/2021,Cashier,12h,Fixed term,B,North,Cash,Beauty,4,07/12/2021 00:00,4,09/11/2021 00:00,No Promotion
56,490.6,8.4,0,67,25/08/1954,Female,Normal,East,2473400,326.3,36,05/03/1986,2,09/05/2022,Cashier,12h,Fixed term,B,North,Credit card,Activewear,1,27/03/2021 00:00,1,20/02/2021 00:00,Free Gift with Purchase
103,617.9,2.4,0,69,20/08/1952,Female,Normal,South,121400,3.7,22,26/10/1999,4,24/03/2022,Cashier,12h,Shiftworkers,E,South,Credit card,Home,4,28/10/2021 00:00,3,23/09/2021 00:00,Online Promotion
3,244.2,9.9,0,72,07/02/1950,Male,Normal,West,89400,40.5,18,17/12/2003,4,15/03/2022,Cashier,12h,Fixed term,E,South,Cash,Home,3,22/08/2021 00:00,3,04/07/2021 00:00,Sales Promotion
70,75.8,2.5,0,62,21/03/1960,Male,Normal,East,951800,199.9,38,18/05/1984,3,02/05/2021,Cashier,6h,Fixed term,E,South,Cash,Women,1,23/03/2021 00:00,1,26/01/2021 00:00,Free Gift with Purchase
121,813.3,4.4,0,56,18/12/1965,Male,Normal,West,159700,170,32,09/10/1989,0,19/07/2021,Cashier,6h,Shiftworkers,C,East,Cash,Sale,1,18/02/2021 00:00,1,21/01/2021 00:00,Sales Promotion
74,774.9,2.7,0,64,08/12/1957,Male,Normal,West,89400,40.5,31,30/08/1990,7,01/01/2021,Cashier,6h,Fixed term,C,East,Ewallet,Beauty,1,15/01/2022 00:00,4,04/12/2021 00:00,Giveaways
43,31.3,5.5,0,62,13/04/1960,Male,Normal,West,428000,382,20,02/08/2002,11,01/09/2021,Cashier,6h,Shiftworkers,B,North,Ewallet,Men,2,21/06/2021 00:00,2,17/05/2021 00:00,No Promotion
46,341.1,4.7,0,67,24/07/1955,Female,Normal,West,428000,382,31,07/05/1991,4,17/03/2021,Cashier,6h,Fixed term,E,South,Ewallet,Gifts,4,10/11/2021 00:00,4,03/11/2021 00:00,Giveaways
58,561.9,1.7,1,53,30/01/1969,Female,Normal,North,146900,350.1,29,24/01/1993,5,15/02/2021,Cashier,12h,Full-time,D,West,Credit card,Kids,3,07/09/2021 00:00,3,10/08/2021 00:00,No Promotion
2,689.8,3.5,1,68,24/11/1953,Female,Member,East,951800,199.9,21,18/12/2000,0,28/07/2021,Cashier,12h,Shiftworkers,A,East,Cash,Kids,4,28/12/2021 00:00,4,02/11/2021 00:00,No Promotion
6,188.9,9.9,0,69,30/01/1953,Female,Normal,West,89400,40.5,22,22/02/2000,4,17/03/2021,Cashier,6h,Fixed term,A,East,Ewallet,Young Adult,1,08/01/2022 00:00,4,18/12/2021 00:00,Sales Promotion
21,30.1,1.9,1,70,29/04/1952,Female,Member,North,191700,467.8,32,29/12/1989,6,01/02/2021,Cashier,12h,Part-time,C,East,Cash,Young Adult,1,21/03/2021 00:00,1,14/03/2021 00:00,Giveaways
56,180,8,1,61,23/09/1960,Female,Normal,North,1137100,723.4,27,25/02/1995,4,20/03/2022,Cashier,12h,Part-time,C,East,Ewallet,Women,4,23/10/2021 00:00,4,16/10/2021 00:00,No Promotion
177,260.4,4.2,0,57,11/03/1965,Female,Member,East,2473400,326.3,29,06/06/1993,11,04/09/2021,Cashier,6h,Part-time,B,North,Cash,Beauty,4,17/12/2021 00:00,4,26/11/2021 00:00,Tiered Promotions
54,485.5,4.3,0,58,12/05/1964,Male,Normal,West,89400,40.5,33,18/09/1988,2,15/05/2022,Cashier,6h,Part-time,C,East,Credit card,Kids,4,16/11/2021 00:00,3,28/09/2021 00:00,Sales Promotion
49,420.6,5.4,1,58,18/06/1964,Female,Normal,West,249100,71.3,38,12/01/1984,4,12/03/2021,Cashier,12h,Part-time,B,North,Credit card,Activewear,2,11/04/2021 00:00,1,21/02/2021 00:00,Online Promotion
99,312.8,9.3,1,62,01/03/1960,Male,Normal,West,159700,170,38,14/06/1984,3,29/04/2022,Cashier,6h,Part-time,A,East,Ewallet,Activewear,3,02/08/2021 00:00,2,14/06/2021 00:00,Free Gift with Purchase
21,938.3,2.2,0,65,12/08/1956,Female,Member,South,121400,3.7,29,27/09/1992,9,13/10/2021,Cashier,12h,Full-time,C,East,Cash,Men,2,20/05/2021 00:00,2,01/04/2021 00:00,Online Promotion
81,992.9,2.8,1,68,07/08/1954,Male,Member,North,191700,467.8,36,05/03/1986,2,09/05/2022,Cashier,12h,Fixed term,B,North,Ewallet,Women,1,16/01/2022 00:00,4,05/12/2021 00:00,Giveaways
117,787.3,6,0,64,25/02/1958,Male,Normal,South,121400,3.7,35,14/08/1986,5,16/02/2021,Cashier,12h,Part-time,D,West,Credit card,Women,4,26/12/2021 00:00,4,28/11/2021 00:00,Giveaways
17,842.4,4.1,0,66,13/05/1956,Female,Member,East,2473400,326.3,20,02/08/2002,11,01/09/2021,Cashier,6h,Shiftworkers,B,North,Ewallet,Men,3,09/08/2021 00:00,3,19/07/2021 00:00,Discount Promotions
126,944.3,2,1,62,30/06/1960,Male,Member,West,428000,382,29,24/01/1993,5,15/02/2021,Cashier,12h,Full-time,D,West,Cash,Sale,1,13/03/2021 00:00,1,06/03/2021 00:00,Giveaways
108,251.1,6.5,1,67,22/05/1955,Male,Member,West,249100,71.3,37,08/10/1984,2,27/05/2021,Cashier,6h,Full-time,D,West,Ewallet,Women,3,30/07/2021 00:00,2,25/06/2021 00:00,Giveaways
87,116.2,8.4,1,63,10/11/1958,Female,Member,West,428000,382,23,20/11/1998,3,23/04/2021,Cashier,12h,Full-time,E,South,Credit card,Home,2,14/06/2021 00:00,2,24/05/2021 00:00,Online Promotion
31,726.1,7.9,1,63,12/12/1958,Female,Member,North,146900,350.1,22,11/05/2000,7,03/01/2021,Cashier,6h,Fixed term,B,North,Credit card,Home,4,07/12/2021 00:00,4,09/11/2021 00:00,Discount Promotions
67,531.4,6.1,1,60,15/09/1961,Male,Normal,South,121400,3.7,38,12/01/1984,4,12/03/2021,Cashier,12h,Part-time,B,North,Ewallet,Home,2,09/06/2021 00:00,2,28/04/2021 00:00,Free Gift with Purchase
90,14.1,6.3,0,60,26/09/1961,Female,Normal,West,159700,170,21,18/12/2000,0,28/07/2021,Cashier,12h,Shiftworkers,A,East,Credit card,Designer,2,11/05/2021 00:00,2,04/05/2021 00:00,Giveaways
83,594.9,9.2,1,53,15/10/1968,Female,Member,North,1137100,723.4,20,06/10/2001,8,17/11/2021,Cashier,6h,Fixed term,E,South,Cash,Young Adult,1,20/03/2021 00:00,1,30/01/2021 00:00,Free Gift with Purchase
153,901.1,3.5,1,69,11/02/1953,Female,Member,South,121400,3.7,33,09/12/1988,9,22/10/2021,Cashier,12h,Fixed term,D,West,Ewallet,Kids,4,12/11/2021 00:00,4,01/10/2021 00:00,Online Promotion
